,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
4300800.00000%,0.94688%,7.68865%,0.73868%,,1.45786%,-7.21897%,0.99389%,1.23610%,1.20306%,6.37456%,-0.30513%,2.53810%,1.29706%,,,5.06911%,0.44233%,0.02366%,0.33082%,1.51946%,0.90155%,0.06336%,1.27637%,8.55570%,0.31840%,,4.69894%,4.13592%,1467110.29756%,,1.93000%,4300800.00000%,,,4300800.00000%,1.84316%,3.53305%,-0.96853%,0.65202%,,-0.02486%,6.03778%,5.93285%,0.61210%,5.95300%,-0.46294%,2.10845%,,1.05328%,6.01778%,4.61017%,-0.57990%,3.11566%
4303900.00000%,3.80410%,5.84714%,3.60004%,,3.16341%,-10.99047%,11.79241%,4.09738%,0.07189%,-13.87883%,-2.73821%,-3.98482%,4.12146%,3.50000%,,-6.75164%,-1.01394%,7.56854%,6.15169%,4.82283%,-2.66606%,4.70718%,4.55551%,3.20014%,-2.55558%,,0.00478%,9.25513%,1602893.26284%,,2.22000%,4303900.00000%,,,4303900.00000%,-,1.47967%,-,-2.02401%,,-3.58548%,2.19274%,-4.62763%,1.04876%,1.15577%,-0.83170%,-2.79983%,,5.42923%,2.24887%,5.70426%,5.20067%,0.37107%
4306900.00000%,0.16036%,7.47817%,4.52375%,,1.00251%,15.82679%,2.52709%,1.37977%,-3.10995%,0.70516%,1.25600%,1.75345%,0.80789%,0.56884%,,-5.68918%,6.38139%,-0.87801%,1.60804%,2.66824%,2.67160%,1.69542%,1.46717%,-0.21714%,-1.81290%,,5.16342%,-3.61603%,1544932.16159%,,2.81000%,4306900.00000%,,,4306900.00000%,-,-2.57636%,-,-,,-1.49635%,0.42056%,5.42824%,0.05121%,3.98511%,-0.37245%,7.67307%,,0.95274%,0.84256%,-0.35470%,4.41811%,1.91618%
4310000.00000%,-0.69681%,8.50064%,2.12224%,,-0.18503%,-1.53196%,-1.76085%,0.21665%,3.20507%,3.04275%,-0.08457%,4.20037%,-0.81694%,-0.73251%,1.89736%,-1.33073%,3.18246%,-4.37518%,0.89618%,-1.46703%,3.01342%,1.04637%,0.52090%,4.21991%,-2.87019%,,0.11495%,-2.35224%,1508591.64931%,,0.98000%,4310000.00000%,,,4310000.00000%,-,-,-,-,,-,0.56351%,1.34606%,0.97207%,-1.59961%,2.49637%,4.49286%,,-2.05265%,1.25949%,0.19089%,-2.25021%,11.73104%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD 2017,30.87450%,42.70806%,29.84464%,,25.65966%,-4.25785%,52.90931%,33.34011%,1.88557%,2.54574%,3.67051%,-8.99265%,25.46479%,3.32829%,1.89736%,3.33073%,10.24388%,22.09366%,17.57422%,21.95751%,3.95310%,38.67637%,29.02533%,12.42352%,29.48704%,,13.56159%,50.86667%,50.85916%,,TR 21.83%,,,,YTD 2017,,,,,,,31.11242%,-0.57002%,17.14041%,12.89124%,-0.67759%,-39.25895%,,26.44145%,20.99640%,19.20071%,20.93795%,14.27063%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Accts,600.00000%,5 or less,5 or less,,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,,5 or less,5 or less,600.00000%,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,800.00000%,,5 or less,700.00000%,,,,,,,# of Accts,,,,,,,5 or less,5 or less,5 or less,5 or less,5 or less,5 or less,,5 or less,5 or less,5 or less,5 or less,5 or less
AUM,16247900.00000%,22378500.00000%,5552721.00000%,,1737861.00000%,1863740.00000%,8555611.00000%,3983759.00000%,2204180.00000%,38327683.00000%,1828620.00000%,1831415.00000%,12134976.00000%,2072982.00000%,,4354091.00000%,2237857.00000%,27869289.00000%,7534637.00000%,18588513.00000%,5355479.00000%,9364529.00000%,10902033.00000%,8574604.00000%,17730666.00000%,,2336778.00000%,85977688.00000%,,,,,,,AUM,,,,,,,8111534.00000%,1907065.00000%,2315820.00000%,23825300.00000%,1470427.00000%,3406300.00000%,,692497.00000%,2325346.00000%,2357258.00000%,3417694.00000%,1815637.00000%
Dispersion,0.16000%,0.34000%,0.00000%,,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.01000%,0.00000%,0.00000%,0.00000%,0.00000%,,0.16000%,0.00000%,0.10000%,0.03000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.63000%,,0.00000%,0.09000%,,,,,,,Dispersion,,,,,,,0.01000%,0.00000%,0.00000%,0.32000%,0.96000%,0.01000%,,0.00000%,0.00000%,0.00000%,0.07000%,0.00000%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RJ RMF,RMF,BSMF,NBNN,aval,HIBEV,,LDGF,LFF,,,S&P 500,,S&P 500  TR,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10stx,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CIAF,,,EMF,,,,,HMF,S&P 500 TR 2014,,,,,TGF,,,,,,,,,,,,LFF,,,,,,,,,TPSNX,,,,VMNHI,,,,KAI,,,,,,,SSOF1,
4194300.00000%,,#REF!,,,#REF!,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,,#REF!,,,,,,,4194300.00000%,,#REF!,,,,#REF!,,,,#REF!,,,,,,,#REF!,
4197300.00000%,,#REF!,,,#REF!,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,,#REF!,,,,,,,4197300.00000%,,#REF!,,,,#REF!,,,,#REF!,,,,,,,#REF!,
4200400.00000%,,#REF!,,,#REF!,,,,,#REF!,,,,,,#REF!,,,,,,,,,,,,#REF!,,,,,,,4200400.00000%,,#REF!,,,,#REF!,,,,#REF!,,,,,,,#REF!,
Annual 2014,,19.55132%,,,4.94847%,,,,,-14.47718%,13.69000%,,,,,-5.53499%,,,,,,,,,,,,13.10111%,,,,,,,Annual 2014,,-5.81754%,,,,#REF!,,,,18.62919%,,,,,,,-0.42885%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10STX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4167000.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4167000.00000%,,,,,,,,,,,,,,,,,,
4169800.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4169800.00000%,,,,,,,,,,,,,,,,,,
4172900.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4172900.00000%,,,,,,,,,,,,,,,,,,
4175900.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4175900.00000%,,,,,,,,,,,,,,,,,,
4179000.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4179000.00000%,,,,,,,,,,,,,,,,,,
4182000.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4182000.00000%,,,,,,,,,,,,,,,,,,
4185100.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4185100.00000%,,,,,,,,,,,,,,,,,,
4188200.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4188200.00000%,,,,,,,,,,,,,,,,,,
4191200.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4191200.00000%,,,,,,,,,,,,,,,,,,
4194300.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4194300.00000%,,,,,,,,,,,,,,,,,,
4197300.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4197300.00000%,,,,,,,,,,,,,,,,,,
4200400.00000%,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,4200400.00000%,,,,,,,,,,,,,,,,,,
Annual 2014,,,,,,,,,,-19.46646%,,,,,,,,,,,,,,,,,,,,,,,,,Annual 2014,,,,,,,,,,,,,,,,,,
4313100.00000%,11.32487%,-1.61969%,5.60038%,,8.32675%,9.28131%,17.02370%,12.22414%,3.89282%,8.07008%,2.31896%,-4.29932%,6.51316%,12.16446%,8.35794%,3.20999%,-0.60833%,7.89284%,10.64254%,12.77855%,6.85887%,6.49744%,5.93680%,-0.09915%,-4.26064%,,5.89484%,10.78465%,,,5.62000%,,,,,,,,,,,6.47376%,6.39298%,6.51353%,2.75879%,-0.04948%,-3.42889%,1.16304%,-1.44335%,,2.11004%,-1.89718%,6.09290%
4315900.00000%,-2.06370%,-4.34704%,-0.28387%,,0.66749%,-7.29358%,1.59829%,-3.22658%,-4.34364%,-2.57511%,-2.66835%,-5.95016%,-0.89920%,-2.73564%,-4.77942%,-3.46048%,-6.49269%,-0.48130%,-1.59463%,-0.13443%,-9.21024%,-1.40249%,-2.14958%,-3.35809%,-5.28760%,,-3.26105%,0.16778%,,,-3.89000%,,,,,,,,,,,0.22386%,-6.91575%,-1.31155%,-2.87000%,0.21391%,-4.67926%,-5.31840%,-3.77424%,-,-6.27598%,-5.11308%,-1.76694%
4319000.00000%,-4.19617%,-5.92272%,-0.69807%,,-3.28534%,-10.23593%,-2.41994%,0.00000%,-2.52811%,-0.43555%,3.22654%,2.60959%,-2.28155%,-5.39715%,-5.21901%,-0.99986%,-3.78225%,-3.81501%,-4.72256%,-3.92068%,-2.79976%,-4.52509%,-1.59871%,0.46125%,-0.52182%,,-3.38891%,-4.72312%,,,-2.69000%,,,,,,,,,,,-1.84599%,-6.51859%,1.10834%,-0.58000%,2.06182%,-,-2.02335%,-,-,0.18881%,-0.20217%,-4.39413%
4322000.00000%,1.33039%,2.97459%,-0.85315%,,-0.38739%,6.14639%,2.56746%,1.50801%,1.21339%,1.13035%,-0.60752%,2.35821%,1.23040%,3.86719%,6.83692%,-0.43604%,0.49154%,-4.32563%,2.49963%,1.17411%,-0.63996%,0.41447%,0.19955%,2.45653%,-0.84812%,,-0.72612%,-2.41640%,,,0.27000%,,,,,,,,,,,-1.11976%,0.51891%,3.42533%,-0.47000%,-,-,2.85508%,-,-,0.06431%,-2.38183%,-1.22776%
4325100.00000%,8.40542%,3.94692%,1.74821%,,3.27650%,-1.91917%,7.22037%,2.72437%,-0.07543%,-6.61201%,-0.14219%,3.84078%,3.82823%,5.71541%,3.45759%,3.54769%,-0.84860%,8.16896%,6.22910%,9.63193%,3.96457%,3.82467%,4.08373%,4.86712%,9.79640%,,5.43807%,10.37525%,,,2.16000%,,,,,,,,,,,4.34867%,-1.49112%,9.82000%,3.70000%,-,-,3.15996%,,-,0.00489%,-0.64409%,9.70559%
4328100.00000%,2.25000%,-1.55629%,1.29000%,,3.60000%,5.10894%,-0.21919%,0.65611%,-1.37779%,2.46886%,-0.23479%,3.54743%,-0.19329%,2.20599%,1.57502%,0.93213%,5.83171%,-1.88526%,2.46275%,3.56082%,0.63984%,0.12383%,0.74784%,-1.31650%,-0.93524%,,-1.13123%,-4.32564%,,,0.48000%,,,,,,,,,,,-,1.39920%,3.49000%,0.43000%,-,-,-,,-,0.00000%,-0.38832%,-1.08000%
4331200.00000%,-0.06618%,1.45744%,0.37442%,-3.79792%,-1.04329%,10.49438%,3.42829%,1.17320%,1.26664%,2.80852%,-3.32842%,0.79661%,1.56375%,-1.63217%,1.67485%,2.76469%,4.37591%,1.70302%,-1.20862%,-0.12814%,2.81501%,2.05368%,1.60282%,1.99768%,-0.15282%,1.34353%,5.95793%,-1.31521%,,,3.60000%,,,,,,,,,,,-,2.84731%,-2.51165%,-,,-,-,,,-,1.21620%,-0.72757%
4334300.00000%,7.48010%,1.85285%,8.40565%,0.51113%,8.38245%,-23.84813%,10.79717%,8.30798%,2.07448%,11.57773%,-3.81832%,-0.15466%,4.42115%,6.26218%,2.63814%,-3.01768%,1.73732%,-2.40776%,4.96696%,10.74950%,3.38329%,7.00736%,6.55835%,-2.76427%,5.52495%,6.86377%,0.43078%,11.89937%,,,3.03000%,,,,,,,,,,,-,4.84668%,2.91852%,-,,-,,,,,1.38175%,8.14349%
4337300.00000%,-0.70213%,-3.65441%,-1.46334%,0.53182%,0.51414%,-6.51872%,-2.65860%,1.44986%,0.79848%,-2.79526%,-0.14570%,0.26912%,-0.25078%,0.04545%,0.75510%,-4.71911%,3.62202%,5.86079%,-1.17875%,-3.16524%,-2.39430%,0.32688%,1.39961%,-2.72988%,-3.98080%,-0.49592%,1.39564%,3.93091%,,,0.43000%,,,,,,,,,,,,1.30201%,-,,,,,,,,-4.82985%,2.12012%
4340400.00000%,-11.53000%,-14.97719%,-5.44499%,-11.10367%,-5.00093%,-6.19840%,-16.61138%,-14.41620%,-5.10000%,-11.09000%,7.59503%,-1.78668%,-6.17479%,-11.59513%,-10.21577%,0.17019%,-4.67149%,-9.11378%,-11.49749%,-12.08039%,-5.98818%,-4.29531%,-11.91297%,-7.40749%,-18.68050%,-12.81013%,-8.36434%,-20.04194%,,,-6.94000%,,,,,,,,,,,,-4.38862%,,,,,,,,,-%,-21.40913%
4343400.00000%,1.48000%,2.78710%,3.07645%,1.97382%,-3.56699%,-7.54733%,-0.32261%,1.38819%,-0.43782%,-8.52375%,-1.16779%,2.22523%,0.62090%,0.13486%,-0.11595%,3.33478%,0.80470%,-2.85156%,-1.65000%,3.70389%,1.20840%,-2.37564%,-1.91791%,-3.49300%,10.56492%,3.80347%,0.70539%,-4.82725%,,,1.79000%,,,,,,,,,,,,-%,,,,,,,,,-%,-5.15959%
4346500.00000%,-11.51608%,-10.65360%,-7.05200%,-18.36858%,-6.51905%,-35.98327%,-10.63950%,-7.75845%,-7.13610%,-19.29740%,8.95702%,-8.74372%,-6.04891%,-8.40746%,-10.33690%,-8.87640%,-9.25012%,-13.79200%,-8.37391%,-11.83242%,-14.37881%,-8.20538%,-11.12877%,-14.27500%,0.74522%,-9.30257%,-7.17045%,-5.33486%,,,-9.18000%,,,,,,,,,,,,-%,,,,,,,,,-%,-12.71496%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD 2018,-0.58763%,-27.57946%,3.77970%,-28.06635%,3.77027%,-56.54340%,5.47994%,1.42367%,-11.68120%,-25.74839%,9.50151%,-6.02267%,1.52885%,-1.78970%,-7.17129%,-8.11062%,-9.51486%,-16.13073%,-5.41451%,7.02372%,-17.14014%,-1.66753%,-9.65855%,-24.00330%,-10.85347%,-11.54135%,-5.32884%,-9.92033%,,,-4.38000%,,-4.38000%,,,,,,,,,-,-%,25.35114%,-,-,-,-,-,-,-,-%,-23.82399%
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RJ RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Funds,LDGF,LFF,,,S&P 500,,S&P 500  TR,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10stx,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Accts,1600.00000%,700.00000%,100.00000%,100.00000%,200.00000%,100.00000%,400.00000%,100.00000%,100.00000%,200.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,200.00000%,100.00000%,500.00000%,200.00000%,100.00000%,100.00000%,400.00000%,100.00000%,100.00000%,1300.00000%,100.00000%,100.00000%,1300.00000%,,,,,,,,,,,,,,,,,,,,,,,,,100.00000%
AUM,73011332.00000%,18831039.00000%,5651732.00000%,955181.00000%,4392998.00000%,791981.00000%,22559018.00000%,1932510.00000%,1689495.00000%,2829681.00000%,1962514.00000%,1678362.00000%,12070433.00000%,1991863.00000%,1841089.00000%,1453784.00000%,1873933.00000%,11436546.00000%,6166131.00000%,2573007.00000%,4357389.00000%,12459094.00000%,10289319.00000%,6386846.00000%,47850841.00000%,8560528.00000%,2166092.00000%,71083622.00000%,,,,,,,,,,,,,,,,,,,,,,,,,1507898.00000%
Dispersion,0.09000%,0.45000%,0.00000%,0.00000%,0.03000%,0.00000%,0.05000%,0.00000%,0.00000%,0.03000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.13000%,0.00000%,0.25000%,0.69000%,0.00000%,0.00000%,0.22000%,0.00000%,0.00000%,0.31000%,0.00000%,0.00000%,0.06000%,,,,,,,,,,,,,,,,,,,,,,,,,0.00000%
2018 Firm Assets,,591446716.00000%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RJ RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Funds,LDGF,LFF,,,S&P 500,,S&P 500  TR,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10stx,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349600.00000%,17.58881%,19.46359%,7.97320%,17.87044%,7.82631%,12.64702%,11.28374%,6.50377%,4.61088%,14.94708%,-8.46630%,9.03479%,7.08050%,11.18101%,13.05325%,4.02494%,14.05362%,9.99517%,16.00087%,14.12650%,14.32481%,6.49349%,7.34148%,14.84725%,11.77774%,11.90706%,3.08058%,1.43315%,,,7.87000%,,,,,,,,,,,,,,,,,,,,,,11.04626%
4352400.00000%,1.90139%,3.28887%,3.92134%,12.41611%,0.35953%,-7.48467%,0.90466%,2.05408%,1.28299%,3.89594%,-3.28175%,2.69034%,2.45349%,2.07251%,1.47406%,1.30126%,3.47380%,5.93781%,1.59974%,5.07240%,4.10853%,5.72343%,2.96999%,4.26166%,4.95280%,4.79451%,2.95700%,6.93106%,,,2.97000%,,,,,,,,,,,,,,,,,,,,,,-%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD 2019,19.82464%,23.39259%,12.20773%,32.50536%,8.21398%,4.21576%,12.29048%,8.69144%,5.95303%,19.42535%,-11.47021%,11.96820%,9.70771%,13.48525%,14.71972%,5.37857%,18.01562%,16.52648%,17.85659%,19.91544%,19.02188%,12.58857%,10.52952%,19.74168%,17.31386%,12.27245%,6.12868%,8.46353%,,,11.48000%,,,,,,,,,,,,,,,,,,,,,,-%
